PXD002801: mouse livers; CC experiment																																																											
"Program ""PAW_protein_grouper.py"" run on Tue Oct 28 09:49:56 2025"																																																											
																																																											
 	6326																								CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool
6401	1	tr|Q91VA7|Q91VA7_MOUSE	 	 	 	 	4607701	40.6	384	42194	"Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus OX=10090 GN=Idh3b PE=1 SV=1"	99	99	1	32	35	32	32	35	32	32	35	32	32	5734833	6307160	6298747	350784	7585938	6653906	3516705	248357	3959880	5015567	4567188	35	3777380	5035707	5268230	277451	5701554	4221832	3414837	208275	3691134	5992821	3758922	32	6343897	10156535	6757337	478950	8577444	5962473	6531814	242667	6525161	3393642	5496992
869	1	sp|P14094|AT1B1_MOUSE	 	 	 	 	4606998	29.6	304	35194	Sodium/potassium-transporting ATPase subunit beta-1 OS=Mus musculus OX=10090 GN=Atp1b1 PE=1 SV=1	54	54	1	19	15	20	19	15	20	19	15	20	19	5980282	5723299	7053626	448458	6714191	7810635	4279160	382732	5380249	5519786	4929242	15	4512689	5126512	6090711	423538	5172190	7107256	4625781	383129	5615044	6425663	4548251	20	4998123	6517820	5413791	470751	5497541	5930589	6055297	290239	5399061	2861787	4343500
3165	1	sp|Q8BGL3|ST2A8_MOUSE	 	 	"sp|P50236|ST2A2_MOUSE, sp|P52843|ST2A1_MOUSE, sp|Q8BGL3|ST2A8_MOUSE, tr|K7N6K9|K7N6K9_MOUSE, tr|L7N245|L7N245_MOUSE"	 	4602352	40.8	282	33295	Sulfotransferase 2A8 OS=Mus musculus OX=10090 GN=Sult2a8 PE=1 SV=1	99	96	0.97	30	35	34	29	34	33	29.527	34.557	33.589	29	5779400	11986350	5041113	743911	6285210	11247134	7118683	457286	7795616	4603815	6105852	34	4742187	1174119	2641062	152463	2249737	5943412	5595586	238641	6991573	1553958	3128274	33	7096358	12021118	2419270	689406	3061581	5624210	8420143	240018	4221455	1935737	4572930
5090	1	sp|Q9CZM2|RL15_MOUSE	 	 	 	 	4561334	29.9	204	24146	Large ribosomal subunit protein eL15 OS=Mus musculus OX=10090 GN=Rpl15 PE=1 SV=4	43	43	1	13	14	16	13	14	16	13	14	16	13	3267180	3148043	3030453	203793	3947585	3613376	2409711	191359	4549939	4401556	2876299	14	10170214	5761479	8840751	356993	6889558	10564922	10707744	447960	13156330	9663331	7655928	16	4094401	4267300	3548921	263859	3660011	3492499	4234223	200270	5174395	2581866	3151775
4664	1	sp|Q99KR7|PPIF_MOUSE	 	 	"sp|Q99KR7|PPIF_MOUSE, sp|Q9CR16|PPID_MOUSE, sp|Q9ERU9|RBP2_MOUSE, sp|Q9QZH3|PPIE_MOUSE"	 	4548106	62.1	206	21737	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Mus musculus OX=10090 GN=Ppif PE=1 SV=1"	73	59	0.808	27	25	21	22	19	18	24.935	22.831	19.965	22	6038292	4879507	7005968	296155	7313089	6745041	3594835	317144	5713175	5621421	4752463	19	5296641	5017978	7011897	286842	4353049	6432676	4425365	263942	5330002	6164242	4458263	18	4928777	6756476	5438867	360765	5533606	6183643	5944371	238626	5903450	3047345	4433593
4609	1	sp|Q99JI4|PSMD6_MOUSE	 	 	 	 	4547280	51.2	389	45536	26S proteasome non-ATPase regulatory subunit 6 OS=Mus musculus OX=10090 GN=Psmd6 PE=1 SV=1	94	94	1	31	31	32	31	31	32	31	31	32	31	7365530	5480577	7164636	409931	7196870	8245985	4648939	418189	6604265	8036278	5557120	31	5477697	4416795	7501275	280725	4918260	6367291	4926171	331427	7129298	6264521	4761346	32	4313692	4183247	4162713	249023	3911601	3680696	4251401	181061	5543207	2757111	3323375
5926	1	sp|Q9R0N0|GALK1_MOUSE	 	 	 	 	4541442	31.1	392	42295	Galactokinase OS=Mus musculus OX=10090 GN=Galk1 PE=1 SV=2	95	95	1	34	25	36	34	25	36	34	25	36	34	11447541	3227908	11261995	233198	4964055	7768737	4234116	416270	5076376	9180156	5781035	25	5520629	2908499	7268632	202989	2801941	5230913	3515891	237730	3932121	4149759	3576910	36	7314148	3417280	7493859	260171	4046810	5050749	4982697	248937	5973619	3875520	4266379
5868	1	sp|Q9QZ85|IIGP1_MOUSE	 	 	"sp|Q9QZ85|IIGP1_MOUSE, tr|Q3UED7|Q3UED7_MOUSE"	 	4529605	57.1	413	47571	Interferon-inducible GTPase 1 OS=Mus musculus OX=10090 GN=Iigp1 PE=1 SV=2	114	84	0.737	42	35	37	32	26	26	40.205	33.312	35.862	32	7420650	2845193	8617406	252766	5168041	7291389	5210604	435616	7293316	10296974	5483195	26	5702317	3363914	10231711	267089	4210193	8116643	6458351	357053	6844519	4435978	4998777	26	3887691	2350826	4583866	186167	2787472	3681367	4657930	196831	5833112	2903152	3106841
4294	1	sp|Q91VM9|IPYR2_MOUSE	 	 	 	 	4525146	53.6	330	38114	"Inorganic pyrophosphatase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ppa2 PE=1 SV=1"	74	74	1	23	27	24	23	27	24	23	27	24	23	3426518	3309002	4219450	235071	5067305	3611738	1970125	169257	3119046	2546700	2767421	27	9162342	7319875	10863807	503229	10585509	10763258	8607385	519635	10159828	10317621	7880249	24	3163193	4513490	4127214	352687	4421151	4087838	3570277	220951	3072386	1748485	2927767
5575	1	sp|Q9ERE7|MESD_MOUSE	 	 	 	 	4517635	55.8	224	25206	LRP chaperone MESD OS=Mus musculus OX=10090 GN=Mesd PE=1 SV=1	40	40	1	14	13	13	14	13	13	14	13	13	14	4218069	2656882	4519422	220166	3920247	4657819	2533252	266650	4032764	4922507	3194778	13	7818693	5944984	11232943	524113	7265076	9234087	6758685	505441	9142417	7247690	6567413	13	5048978	4373966	4854754	285644	4348865	4111331	5004740	233035	6458440	3187380	3790713
1630	1	sp|P63037|DNJA1_MOUSE	 	 	 	 	4500723	45.3	397	44868	DnaJ homolog subfamily A member 1 OS=Mus musculus OX=10090 GN=Dnaja1 PE=1 SV=1	66	66	1	21	22	23	21	22	23	21	22	23	21	4588363	4141522	4673623	202224	5267477	5968919	3289886	205367	4670390	5315872	3832364	22	5441487	6324055	7957602	384867	5568259	8112013	5994980	424168	7655155	8351396	5621398	23	4678234	5765085	4615567	260378	5291158	5302444	5135307	194101	5746891	3494891	4048406
2140	1	sp|Q3UMF0|COBL1_MOUSE	 	 	 	 	4493814	31	1273	137380	Cordon-bleu protein-like 1 OS=Mus musculus OX=10090 GN=Cobll1 PE=1 SV=2	134	134	1	49	42	43	49	42	43	49	42	43	49	4783826	6515783	5827176	399996	7160403	7746001	4036863	336415	5801459	4601174	4720910	42	4066009	4342181	5458648	285970	4807503	6281590	5753040	314108	5902345	5825879	4303727	43	4526156	7322606	5272013	460432	6290826	6233315	6267945	277426	5357165	2560169	4456805
5951	1	sp|Q9R1P1|PSB3_MOUSE	 	 	 	 	4488179	42.9	205	22965	Proteasome subunit beta type-3 OS=Mus musculus OX=10090 GN=Psmb3 PE=1 SV=1	68	68	1	23	19	26	23	19	26	23	19	26	23	6442792	4546485	6760701	296880	5647962	7941531	4220111	363790	5887740	6628972	4873696	19	3238860	2513059	4730235	188511	2909350	4196155	2931072	211613	3998746	3505585	2842319	26	7348800	7471646	7484420	438174	6661846	7346392	7804753	332401	8326630	4270161	5748522
3303	1	sp|Q8BMA6|SRP68_MOUSE	 	 	 	 	4487296	40.6	625	70573	Signal recognition particle subunit SRP68 OS=Mus musculus OX=10090 GN=Srp68 PE=1 SV=2	101	101	1	33	32	36	33	32	36	33	32	36	33	6160674	5812124	6232299	362347	7346930	7431370	4282281	356771	6882415	7667912	5253512	32	5072220	4021282	7017646	268173	5642244	6271657	5246464	270515	8091232	5414284	4731572	36	3965972	4863032	3980852	322163	4517581	4131788	4596458	185339	5391359	2813509	3476805
5192	1	sp|Q9D1R9|RL34_MOUSE	 	 	 	 	4484260	42.7	117	13293	Large ribosomal subunit protein eL34 OS=Mus musculus OX=10090 GN=Rpl34 PE=1 SV=2	68	68	1	22	25	21	22	25	21	22	25	21	22	5532007	4869059	5095696	328506	6167125	6891090	3709085	332080	5918080	6295382	4513811	25	5367284	4878127	7538497	325448	5248878	6669572	5474113	376075	8084950	6964745	5092769	21	4733164	5550459	4487519	312796	4689713	4431256	4898507	218091	6089528	3050965	3846200
4637	1	sp|Q99K48|NONO_MOUSE	 	 	"sp|Q8R326|PSPC1_MOUSE, sp|Q8VIJ6|SFPQ_MOUSE, sp|Q99K48|NONO_MOUSE"	 	4469299	43.6	473	54540	Non-POU domain-containing octamer-binding protein OS=Mus musculus OX=10090 GN=Nono PE=1 SV=3	109	93	0.853	42	32	35	37	28	28	40.624	30.417	32.329	37	7476552	5877424	8630530	360334	8009268	8937787	5015220	396000	7304375	8277287	6028478	28	2923864	2373186	4203702	162417	2849780	3317742	2919558	176058	3549301	3031784	2550739	28	5898169	6027092	6383288	264734	6076576	5483217	6710972	201377	7283519	3957858	4828680
4378	1	sp|Q91X34|BAAT_MOUSE	 	 	 	 	4448177	51	420	46481	Bile acid-CoA:amino acid N-acyltransferase OS=Mus musculus OX=10090 GN=Baat PE=1 SV=1	71	71	1	24	25	22	24	25	22	24	25	22	24	5100846	4952846	5591737	256670	5387240	5866467	3274620	215230	3749000	3800349	3819500	25	3447007	4156783	4562713	253880	3501169	5516387	3281803	252760	3477876	5407463	3385784	22	7195256	11059669	7962633	494235	8247419	8235319	7480561	241938	7059238	3416202	6139247
4068	1	sp|Q8R4N0|CLYBL_MOUSE	 	 	 	 	4447912	56.5	338	37548	"Citramalyl-CoA lyase, mitochondrial OS=Mus musculus OX=10090 GN=Clybl PE=1 SV=2"	82	82	1	28	30	24	28	30	24	28	30	24	28	6187392	5473200	8244256	398556	7328734	7310001	3915895	335181	5185343	4424239	4880280	30	6239188	6646440	9970254	435280	6933338	8986007	6698426	465060	7515839	8824911	6271474	24	2442911	3261301	3353085	191976	2940360	2955641	3161784	107158	2373003	1132606	2191982
2619	1	sp|Q64459|CP3AB_MOUSE	 	 	"sp|Q64459|CP3AB_MOUSE, sp|Q64481|CP3AG_MOUSE, sp|Q9JMA7|CP341_MOUSE, tr|Q9EQW4|Q9EQW4_MOUSE"	 	4444157	31.9	504	57854	Cytochrome P450 3A11 OS=Mus musculus OX=10090 GN=Cyp3a11 PE=1 SV=1	230	92	0.4	80	70	80	29	30	33	61.783	59.577	68.59	29	11001915	4002219	5472459	325368	1568290	7959056	4271556	450565	9676656	7185333	5191342	30	6067007	2248496	4578198	209582	2208726	6997087	4616280	350811	8120189	2936567	3833294	33	6728196	6652373	4850679	410411	2522726	4640893	4767385	261024	8873121	3371544	4307835
1244	1	sp|P47199|QOR_MOUSE	 	 	 	 	4442584	55.6	331	35268	Quinone oxidoreductase OS=Mus musculus OX=10090 GN=Cryz PE=1 SV=1	83	83	1	24	32	27	24	32	27	24	32	27	24	5462631	5697611	7975757	399028	7660779	8430980	3554708	354796	7611763	5558806	5270686	32	3937875	3181256	6774117	234901	4294783	5905176	4050195	281319	6713373	4442057	3981505	27	4339792	5496740	6054044	331751	5628272	6325980	4866669	259446	4875804	2577097	4075560
3754	1	sp|Q8JZQ9|EIF3B_MOUSE	 	 	 	 	4424752	32	803	91369	Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus OX=10090 GN=Eif3b PE=1 SV=1	110	110	1	32	36	42	32	36	42	32	36	42	32	7066398	5995338	6784195	453545	7159584	8213009	4717406	437923	7091001	8277456	5619586	36	4421904	3989433	5877554	282907	4421376	5216224	4608691	272160	6426362	5344086	4086070	42	4532674	4730481	3976710	277206	4127806	4048739	5270026	194695	5539913	2987768	3568602
1497	1	sp|P59999|ARPC4_MOUSE	 	 	 	 	4423001	56.5	168	19667	Actin-related protein 2/3 complex subunit 4 OS=Mus musculus OX=10090 GN=Arpc4 PE=1 SV=3	49	49	1	18	17	14	18	17	14	18	17	14	18	5299467	5288216	6500483	581284	6566800	9325792	4536354	548405	7166740	6634903	5244844	17	4166754	3498278	6273436	380162	4325425	8977449	5316864	570755	6901604	4509918	4492065	14	3692034	4413062	4537242	388766	4079988	5499243	4710413	359160	4880798	2760234	3532094
5889	1	sp|Q9QZQ8|H2AY_MOUSE	 	 	"sp|Q8CCK0|H2AW_MOUSE, sp|Q9QZQ8|H2AY_MOUSE"	 	4420686	45.5	369	39289	Core histone macro-H2A.1 OS=Mus musculus OX=10090 GN=Macroh2a1 PE=1 SV=4	81	67	0.827	27	27	27	23	21	23	26.172	25.667	26.172	23	5172564	5191783	7408168	349372	6391555	7850055	3207535	276692	4322959	5252467	4542315	21	4079795	4507149	8387419	260626	5478364	6776927	4888320	296216	5921182	5548078	4614408	23	4250154	5841629	6054773	364613	5754471	5616062	5737627	217960	4779466	2436592	4105335
919	1	sp|P17047|LAMP2_MOUSE	 	 	 	 	4407295	15.9	415	45681	Lysosome-associated membrane glycoprotein 2 OS=Mus musculus OX=10090 GN=Lamp2 PE=1 SV=2	33	33	1	10	12	11	10	12	11	10	12	11	10	5415111	5403126	6779068	395793	7076832	7314886	4160265	352830	6054418	5168804	4812113	12	4162553	4299895	6788105	372821	5439771	7138291	4705427	353983	6051907	5583139	4489589	11	4400964	5937134	4715947	367167	5242514	5171979	4812409	238950	5794186	2520571	3920182
793	1	sp|P0C0S6|H2AZ_MOUSE (+1)	sp|P0C0S6|H2AZ_MOUSE&sp|Q3THW5|H2AV_MOUSE	 	"sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE"	 	4398683	31.2	128	13553	Histone H2A.Z OS=Mus musculus OX=10090 GN=H2az1 PE=1 SV=2	115	28	0.243	39	35	41	10	8	10	24	21.034	24.966	10	3614449	3715096	4528549	299264	4200430	6057460	2255955	280893	2924814	3720331	3159724	8	4927897	4591870	8290462	323345	5543279	8391168	4831448	399977	6487243	6940631	5072732	10	5331192	6427753	6384450	441855	6701890	6804377	6442878	276630	7460998	3363895	4963592
394	1	sp|O09172|GSH0_MOUSE	 	 	 	 	4396714	33.9	274	30534	Glutamate--cysteine ligase regulatory subunit OS=Mus musculus OX=10090 GN=Gclm PE=1 SV=1	60	60	1	20	19	21	20	19	21	20	19	21	20	5422954	3671179	5656312	252063	4679414	6841683	3750756	244576	3848910	3622866	3799071	19	7365723	4822450	9725098	360651	6400853	8288060	7603213	377399	7009288	6594201	5854694	21	4910213	4882097	4761179	273411	4162841	4666044	5303571	170364	4200207	2033853	3536378
1753	1	sp|P85094|ISC2A_MOUSE	 	 	 	 	4391866	24.3	206	22417	Isochorismatase domain-containing protein 2A OS=Mus musculus OX=10090 GN=Isoc2a PE=1 SV=1	39	39	1	15	10	14	15	10	14	15	10	14	15	6156540	5385089	6510623	448745	7113232	8238523	3977969	516543	5987054	7007940	5134226	10	1211185	1255582	2340088	111855	1529886	1911411	1614106	112791	1811908	1552201	1345101	14	7765670	10497310	9108453	566491	8806116	11005666	6855939	393576	6794697	5168787	6696270
3937	1	sp|Q8R016|BLMH_MOUSE	 	 	 	 	4388271	41.5	455	52511	Bleomycin hydrolase OS=Mus musculus OX=10090 GN=Blmh PE=1 SV=1	79	79	1	26	22	31	26	22	31	26	22	31	26	5757661	4278248	5764560	308873	6255652	7814053	4276080	359916	5312330	6941763	4706914	22	5567472	3269284	5774443	227356	4260092	6403746	5077982	259358	5727190	4883412	4145034	31	5490167	5286790	5310423	319314	4996305	6370735	5087103	235326	6252091	3780406	4312866
6117	1	sp|Q9Z1T1|AP3B1_MOUSE	 	 	 	 	4387308	29.7	1105	122739	AP-3 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap3b1 PE=1 SV=2	92	92	1	30	31	31	30	31	31	30	31	31	30	4288055	3895871	4628374	265277	4981677	5586529	2926138	270306	4861412	5374768	3707841	31	4929543	4711703	7058970	279906	5234300	6848014	5170390	290864	7869633	6101329	4849465	31	5409865	5971663	5343496	354845	5571399	5906867	5916686	260220	7239008	4072138	4604619
2916	1	sp|Q7M6Y3|PICAL_MOUSE	 	 	 	 	4381006	23	660	71543	Phosphatidylinositol-binding clathrin assembly protein OS=Mus musculus OX=10090 GN=Picalm PE=1 SV=1	71	71	1	21	27	23	21	27	23	21	27	23	21	3506218	3342718	4219284	183006	4093065	4042509	2140426	175986	3886341	3743127	2933268	27	4715248	4383172	6932645	251171	4925979	6195326	4680894	270982	7400719	5911649	4566779	23	6434346	8190391	7322506	425944	7506557	6838831	6637174	273586	8212695	4587677	5642971
1340	1	sp|P51859|HDGF_MOUSE	 	 	"sp|P51859|HDGF_MOUSE, sp|Q3UMU9|HDGR2_MOUSE, sp|Q99JF8|PSIP1_MOUSE, sp|Q9JMG7|HDGR3_MOUSE"	 	4381001	62.9	237	26268	Hepatoma-derived growth factor OS=Mus musculus OX=10090 GN=Hdgf PE=1 SV=2	71	67	0.944	24	22	25	22	21	24	22.957	21.512	24.471	22	4174605	3902633	5345867	251274	5067318	6128720	2737268	247685	3763419	4337878	3595667	21	4224160	4647377	8047831	269787	5322745	6384074	4886062	262643	6087129	5782408	4591422	24	5239155	6798670	6834773	386715	6887686	6881744	6683867	287643	6364063	3194819	4955914
4982	1	sp|Q9CWJ9|PUR9_MOUSE	 	 	 	 	4369666	51.2	592	64217	Bifunctional purine biosynthesis protein ATIC OS=Mus musculus OX=10090 GN=Atic PE=1 SV=2	127	127	1	41	45	41	41	45	41	41	45	41	41	4936119	4424367	5576118	270502	6041642	7176997	3876288	351986	5860223	5879282	4439352	45	4942919	4125404	6720792	376358	5808885	9289601	6850148	465101	7220679	6211681	5201157	41	4323232	4518551	4368388	281723	4211993	4336774	4589839	223250	4842714	2988433	3468490
3387	1	sp|Q8BTY1|KAT1_MOUSE	 	 	"sp|Q71RI9|KAT3_MOUSE, sp|Q8BTY1|KAT1_MOUSE"	 	4364984	35.1	424	47563	Kynurenine--oxoglutarate transaminase 1 OS=Mus musculus OX=10090 GN=Kyat1 PE=1 SV=1	107	84	0.785	34	35	38	27	28	29	29.423	30.063	31.966	27	6682697	3864802	4404686	245746	6289947	4969954	3280046	219171	4008660	4435401	3840111	28	8697714	6041171	8332960	342620	7144923	4420582	5110385	287451	6238901	7140035	5375674	29	7281222	6158418	3797418	297145	5347048	3061444	4315595	142848	5790332	2600200	3879167
5246	1	sp|Q9D6J6|NDUV2_MOUSE	 	 	 	 	4360838	61.3	248	27285	"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Mus musculus OX=10090 GN=Ndufv2 PE=1 SV=2"	102	102	1	32	36	34	32	36	34	32	36	34	32	5816781	5334510	6251362	301831	6164686	6651510	3768843	244403	4942255	3699313	4317550	36	6204557	4651505	6991681	246258	5233382	7656778	5798232	327728	6524806	6768358	5040328	34	5034923	5736115	5216749	298509	4689838	4882037	4864314	180301	4121100	2222479	3724636
4932	1	sp|Q9CR62|M2OM_MOUSE	 	 	 	 	4349459	64.3	314	34155	Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus OX=10090 GN=Slc25a11 PE=1 SV=3	127	127	1	42	43	42	42	43	42	42	43	42	42	6184528	3998165	6761886	318624	5762514	6431260	3440006	323869	3962300	4450009	4163316	43	6371831	4700897	8475196	311936	5714733	7427304	5167129	350707	5791022	6601459	5091221	42	5108793	4777191	5183325	334379	4830129	4876869	4750568	224459	5051778	2800913	3793840
5814	1	sp|Q9QXG4|ACSA_MOUSE	 	 	 	 	4346239	32.8	701	78861	"Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus OX=10090 GN=Acss2 PE=1 SV=2"	91	91	1	32	28	31	32	28	31	32	28	31	32	3978341	5810553	5773462	369447	9879324	5045275	2503459	310060	10094235	8285190	5204935	28	3140909	4734778	6195331	293037	6181058	4407410	2822717	299816	12865178	5841559	4678180	31	2172751	5153314	3080358	292870	4910512	3226648	2511627	160795	6567353	3479795	3155602
2758	1	sp|Q6P6M7|SPCS_MOUSE	 	 	 	 	4333044	34.7	504	55325	O-phosphoseryl-tRNA(Sec) selenium transferase OS=Mus musculus OX=10090 GN=Sepsecs PE=1 SV=2	61	61	1	21	21	19	21	21	19	21	21	19	21	5652277	5583193	6883179	262470	7029462	6865031	3843176	219489	5101197	5506714	4694619	21	3970607	3211198	4914231	250153	4423030	4546432	3417420	296436	4478127	4133329	3364096	19	5763193	7643179	6486450	399625	6696861	6082067	5917833	270870	6352872	3791231	4940418
3892	1	sp|Q8K3J1|NDUS8_MOUSE	 	 	 	 	4330599	42	212	24038	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs8 PE=1 SV=1"	86	86	1	31	28	27	31	28	27	31	28	27	31	6074940	5907911	7173902	420249	6756163	7156602	3995802	322985	5170083	3615480	4659412	28	6190205	4985411	8361355	370729	5267423	7357700	5334796	376938	6115871	6581383	5094181	27	4295235	5192087	4408166	346580	4158832	4244641	4035599	194093	3359252	2147566	3238205
2550	1	sp|Q62318|TIF1B_MOUSE	 	 	 	 	4329030	46.2	834	88846	Transcription intermediary factor 1-beta OS=Mus musculus OX=10090 GN=Trim28 PE=1 SV=3	107	107	1	32	34	41	32	34	41	32	34	41	32	5607364	5045870	6201954	358008	5185633	6754550	3496699	348986	5877987	7226798	4610385	34	5123933	3416422	7209264	247442	3961780	6427942	5121805	281053	6296051	4864414	4295011	41	5142805	5099243	5473586	351773	4371666	5384920	5140042	256729	5591989	4004186	4081694
4572	1	sp|Q924Y0|BODG_MOUSE	 	 	 	 	4323094	46.3	387	44698	Gamma-butyrobetaine dioxygenase OS=Mus musculus OX=10090 GN=Bbox1 PE=1 SV=1	105	105	1	30	39	36	30	39	36	30	39	36	30	4191683	4813167	4799621	320373	6203425	5605734	2695765	296945	4008409	5069522	3800465	39	4012500	5835189	5694488	393165	5457807	7520718	4257936	399038	5802889	8110110	4748384	36	4286683	7931023	4947876	523823	6520663	6061617	4594414	296461	5676557	3365209	4420433
5130	1	sp|Q9D0J8|PTMS_MOUSE	 	 	 	 	4315438	23.8	101	11430	Parathymosin OS=Mus musculus OX=10090 GN=Ptms PE=1 SV=3	68	68	1	22	25	21	22	25	21	22	25	21	22	5229255	5507311	8130210	323316	6631136	7542549	4563150	335809	7163619	5110810	5053716	25	6172624	3430501	7052996	321882	5364254	9523232	6220531	528378	7072377	4990014	5067679	21	3285693	3505928	4207176	274905	4058910	4004044	2542663	226012	3607507	2536358	2824920
2098	1	sp|Q3UGC7|EI3JA_MOUSE (+1)	sp|Q3UGC7|EI3JA_MOUSE&sp|Q66JS6|EI3JB_MOUSE	 	 	 	4306397	52.1	261	29343	Eukaryotic translation initiation factor 3 subunit J-A OS=Mus musculus OX=10090 GN=Eif3j1 PE=2 SV=1	60	60	1	20	19	21	20	19	21	20	19	21	20	6422582	4416329	5733479	362998	5907778	7414937	3851134	394075	6419137	7246798	4816925	19	3911333	3137338	5432463	265485	3541461	5032913	3782084	319880	5529530	4246055	3519854	21	5647587	6247588	5109921	424701	5375858	5516795	5548102	294982	7439347	4219240	4582412
3236	1	sp|Q8BIJ6|SYIM_MOUSE	 	 	 	 	4302514	33.1	1012	112803	"Isoleucine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Iars2 PE=1 SV=1"	131	131	1	39	46	46	39	46	46	39	46	46	39	5331260	4958799	5876929	345248	6495298	5885887	3066167	287439	4981882	5361492	4259040	46	4758853	4943103	7330278	333830	5635557	6103754	4833169	319212	6862412	6363819	4748399	46	4596819	6246006	4958836	336858	5191033	4471799	4431719	208842	5590637	2968474	3900102
4915	1	sp|Q9CR16|PPID_MOUSE	 	 	"sp|Q99KR7|PPIF_MOUSE, sp|Q9CR16|PPID_MOUSE, sp|Q9ERU9|RBP2_MOUSE"	 	4294160	50.8	370	40742	Peptidyl-prolyl cis-trans isomerase D OS=Mus musculus OX=10090 GN=Ppid PE=1 SV=3	84	79	0.94	30	27	27	28	25	26	28.505	25.495	26.239	28	4361724	4001357	4468922	293251	4851062	6140693	3343107	305177	4873368	4710916	3734958	25	5679588	3846767	7697513	303056	4917564	6880970	5544084	330419	8359806	5039746	4859951	26	5672972	5885691	5123103	375986	5019072	5196656	5660205	274354	6244223	3423460	4287572
6108	1	sp|Q9Z1N5|DX39B_MOUSE	 	 	"sp|Q8VDW0|DX39A_MOUSE, sp|Q9Z1N5|DX39B_MOUSE"	 	4288861	39.5	428	49035	Spliceosome RNA helicase Ddx39b OS=Mus musculus OX=10090 GN=Ddx39b PE=1 SV=1	94	48	0.511	30	33	31	16	18	14	24.96	26.438	23.917	16	5863434	5178994	6957951	410420	6928744	8131399	4779584	421837	8708250	6977974	5435859	18	6604536	3663253	8094680	292215	4631934	8098082	9179872	317556	9590074	5532511	5600471	14	2172896	2071503	2531078	173005	2254948	2607089	2628995	157073	2390964	1314970	1830252
4910	1	sp|Q9CQZ5|NDUA6_MOUSE	 	 	 	 	4287268	38.2	131	15283	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Mus musculus OX=10090 GN=Ndufa6 PE=1 SV=1	52	52	1	16	18	18	16	18	18	16	18	18	16	5340503	3987208	5698146	266312	5079735	6236473	3243493	192256	3952920	3261618	3725867	18	5206620	4691134	6310658	234039	4979054	6179993	4237583	214268	4834892	5745395	4263363	18	6367437	7501534	6587573	360552	6391246	6745617	6474422	202125	5291155	2804084	4872574
4674	1	sp|Q99L20|GSTT3_MOUSE	 	 	"sp|Q61133|GSTT2_MOUSE, sp|Q99L20|GSTT3_MOUSE"	 	4277160	43.2	241	27403	Glutathione S-transferase theta-3 OS=Mus musculus OX=10090 GN=Gstt3 PE=1 SV=1	118	99	0.839	39	40	39	33	33	33	37.304	37.812	37.5	33	2813492	4192816	10920479	281079	7738214	5203733	1753477	236902	2856046	2585600	3858184	33	1763163	4027828	6682019	234181	3706974	4138749	1813011	232956	2372301	5671055	3064224	33	2452056	7087152	15938740	329290	11065514	7443451	5458459	218423	5647162	3450485	5909073
5491	1	sp|Q9DCS3|MECR_MOUSE	 	 	 	 	4267683	38.6	373	40342	"Enoyl-[acyl-carrier-protein] reductase, mitochondrial OS=Mus musculus OX=10090 GN=Mecr PE=1 SV=2"	47	47	1	18	14	15	18	14	15	18	14	15	18	5293841	6022550	5294134	332127	6777016	7726718	4011852	350027	5433127	4807760	4604915	14	4182718	2945398	5192676	219247	3890514	5124999	4157379	241598	4834318	3932905	3472175	15	6339643	8044908	5285591	357754	5814533	6320765	5545799	225701	5656063	3668827	4725958
1786	1	sp|P97429|ANXA4_MOUSE	 	 	"sp|P14824|ANXA6_MOUSE, sp|P97429|ANXA4_MOUSE"	 	4264278	60.8	319	35915	Annexin A4 OS=Mus musculus OX=10090 GN=Anxa4 PE=1 SV=4	91	80	0.879	30	27	34	27	23	30	27.711	23.78	31.008	27	5973085	4146217	7503795	414848	5660348	12000212	5357178	488567	6699686	7532424	5577636	23	3201048	2904136	4724925	246959	3012169	7094096	4985602	347766	5008210	3687845	3521276	30	3556972	3402599	4464901	319300	3608942	6533104	6682720	317862	5192278	2860549	3693923
